97999;318
97040;356
92406;296
87899;593
84545;2571
81815;260
76451;480
71516;527
68803;110
68469;1
66023;1210
65822;1196
65678;2959
64258;589
63505;1198
62180;50
61883;4993
60904;858
60820;2858
58949;780
58665;150
58031;457
57492;1270
57378;7153
56696;5952
55240;47
54846;32
54500;608
54448;592
54027;2028
52270;2762
51877;590
51827;588
50864;380
48666;3578
47305;364
46826;4306
46475;377
45608;344
45064;648
44787;1721
44741;58559
44287;1580
43739;4226
42878;1197
42769;1704
42400;595
42254;1240
42181;1193
42043;1291
41475;79132
41244;165
40866;1136
40836;1265
40328;1097
40284;1036
39674;6539
39441;541
39282;1214
38875;1221
38699;367
38662;736
38647;153
38504;597
38484;500
37936;733
37823;231
37331;1089
37179;2628
37167;4973
37112;4886
37000;6377
36996;316
36504;293
36269;1527
36030;3793
36016;1682
35934;1213
35903;34
35659;6874
35343;2716
35064;7361
34572;1200
34547;349
34110;2329
33936;4995
33429;4963
33411;1073
33390;2997
33163;5445
33140;3147
33086;10
32885;111
32738;586
32726;1961
32553;1617
32436;1206
32210;587
32129;1258
32068;5349
32027;33794
31857;8961
31775;539
31545;778
31418;924
31310;208
31302;253
31224;3996
31095;912
30822;5418
30236;357
30053;329
29990;7438
29820;3114
29805;1732
29484;750
29422;39
29300;2918
28986;1208
28986;292
28798;5989
28747;1923
28715;2683
28701;4878
28683;6
28303;2706
28116;60069
27894;1968
27809;1222
27660;454
27627;434
27452;1246
27436;919
27434;4896
27336;2396
27143;2
27101;44191
27083;4022
26995;2324
26818;1917
26803;185
26784;1517
26772;223
26764;2115
26682;59315
26552;4011
26495;1387
26413;288
26408;2291
26316;161
26316;1784
26162;48516
26143;68954
26041;141
26020;1307
25959;339
25884;1393
25847;95
25699;21
25628;2502
25529;2011
25521;2355
25447;72998
25328;4027
25221;1080
25117;2012
25115;1259
24936;1610
24913;19
24841;25
24808;1584
24678;2987
24573;2916
24552;17
24537;1653
24505;6365
24234;1219
24134;551
23955;36
23829;2174
23768;1225
23594;32587
23449;8368
23448;1101
23400;3949
23359;62
23227;5618
23162;2797
23154;1220
23132;48780
23081;109487
23050;68157
22971;5816
22796;3897
22775;2710
22746;2791
22663;5378
22517;508
22507;788
22492;1356
22272;1573
22264;904
22247;104
22136;1485
22088;1079
21989;8636
21807;300
21797;3948
21696;2617
21677;54286
21573;8360
21558;6016
21557;6711
21512;923
21412;49272
21404;6333
21339;8665
21165;16
21153;2692
